BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
1025,1,0.2,0.9,0.6,0.9,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,2,0.6,0.9,0.6,0.9,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,3,0.9,0.9,0.6,0.9,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,4,0.2,0.2,0.9,0.9,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,5,0.6,0.2,0.9,0.9,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,6,0.9,0.2,0.9,0.9,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,7,0.2,0.6,0.9,0.9,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,8,0.6,0.6,0.9,0.9,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,9,0.9,0.6,0.9,0.9,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,10,0.2,0.9,0.9,0.9,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,11,0.6,0.9,0.9,0.9,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,12,0.9,0.9,0.9,0.9,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,13,0.2,0.2,0.2,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,14,0.6,0.2,0.2,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,15,0.9,0.2,0.2,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,16,0.2,0.6,0.2,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,17,0.6,0.6,0.2,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,18,0.9,0.6,0.2,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,19,0.2,0.9,0.2,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,20,0.6,0.9,0.2,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,21,0.9,0.9,0.2,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,22,0.2,0.2,0.6,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,23,0.6,0.2,0.6,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,24,0.9,0.2,0.6,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
1025,25,0.2,0.6,0.6,1.2,0.6,1.2,0.6,1.4,0.5,0.5,0.5
