alpha-a,alpha-b,alpha-c,beta-a,beta-b,beta-c,gamma-b-a,gamma-c-a,delta-b-a,delta-c-a,change-in-bea
1.2,0.03333333333333334,0.65,0.0,0.0,0.0,0.16666666666666669,0.1571428571428571,0.0,0.0,0.0
0.0,0.0,0.65,0.10000000000000002,0.10000000000000002,0.03333333333333334,0.35000000000000003,0.09285714285714285,0.0,0.12000000000000002,0.0375
0.12222222222222223,0.0,0.044444444444444446,0.10000000000000002,0.08333333333333334,0.0,0.85,0.14444444444444446,0.22000000000000003,0.0,0.4666666666666667
0.0,0.0,0.0,0.3333333333333333,0.06666666666666665,0.30000000000000004,0.03333333333333334,0.0,0.0,0.0,0.175
0.0,0.08333333333333334,0.05000000000000001,0.06666666666666668,0.0,0.02222222222222223,0.23571428571428568,0.05000000000000001,0.12,0.02,0.1125
0.19999999999999998,0.0,1.0,0.033333333333333326,0.1,0.14444444444444443,0.0,0.10000000000000002,0.0,0.09,0.1
0.0,0.0,0.4,0.02222222222222223,0.008333333333333342,0.05833333333333333,0.14999999999999997,0.33333333333333337,0.16666666666666666,0.019999999999999997,0.16666666666666669
0.0,0.08333333333333333,0.11666666666666667,0.0,0.04444444444444443,0.0,0.35,0.4833333333333334,0.2,0.15333333333333332,0.0
0.14999999999999997,0.06666666666666668,0.0,0.0,0.0,0.08333333333333336,0.9666666666666668,0.05000000000000001,0.15999999999999998,0.68,0.019999999999999997
0.75,0.011111111111111108,0.05000000000000001,0.06666666666666668,0.18333333333333335,0.06666666666666667,0.08333333333333334,0.15555555555555553,0.0,0.05,0.012499999999999997
0.03333333333333334,0.0,0.06666666666666668,0.0,0.0,0.0,0.0,0.32222222222222224,0.10999999999999999,0.68,0.1
0.06666666666666667,0.35,0.15000000000000005,0.07499999999999998,0.08333333333333336,0.02222222222222223,0.0,0.0142857142857143,0.006666666666666672,0.039999999999999994,0.050000000000000044
2.2,0.0,1.75,0.0,0.0,0.0,0.02222222222222223,0.007142857142857134,0.009999999999999998,0.05,0.0875
0.03333333333333335,0.05555555555555556,0.044444444444444446,0.03333333333333334,0.20833333333333331,0.07777777777777777,0.04999999999999998,0.03333333333333335,0.0,0.36000000000000004,0.0
0.05,0.65,1.4,0.016666666666666663,0.06666666666666668,0.016666666666666663,0.1142857142857143,0.011111111111111108,0.0,0.07,0.06000000000000001
0.0,0.04999999999999999,0.044444444444444446,0.05000000000000001,0.0,0.03333333333333334,0.1,1.4666666666666668,0.09333333333333332,0.0,0.08
1.05,0.0,0.19999999999999998,0.011111111111111108,0.0,0.04999999999999999,0.18888888888888888,0.07857142857142856,0.08,0.0,0.037500000000000006
0.0,0.85,0.0,0.10833333333333331,0.0,0.15,0.007142857142857134,0.0,0.2,0.32,0.4333333333333334
0.09999999999999998,0.65,0.35,0.1,0.5000000000000001,0.0,0.0,0.06666666666666668,0.2,0.18,0.0
0.0,0.0,1.05,0.19999999999999998,0.2166666666666667,0.0,0.0,0.22222222222222224,0.0,0.0,0.019999999999999997
0.05,2.65,0.0,0.13333333333333336,0.011111111111111108,0.03333333333333335,0.0,0.1,0.18,0.02666666666666666,0.0875
0.0,0.0,0.0,0.02222222222222223,0.0,0.041666666666666644,0.75,0.044444444444444446,0.82,0.040000000000000015,0.039999999999999994
0.05000000000000001,0.0,0.95,0.03333333333333334,0.0,0.1166666666666667,0.7833333333333334,0.4166666666666668,0.10999999999999999,0.019999999999999997,0.0
0.0,0.05555555555555556,0.15,0.13333333333333336,0.03333333333333335,0.0,0.4,0.2833333333333333,0.039999999999999994,0.5800000000000001,0.1125
0.1,0.6,0.016666666666666663,0.1,0.033333333333333326,0.02222222222222223,0.1222222222222222,0.13333333333333336,0.006666666666666672,0.12,0.0
1.0,0.03333333333333334,0.35,0.03333333333333334,0.02222222222222223,0.0,0.038888888888888896,0.07777777777777778,0.0,0.5599999999999999,0.0
0.06666666666666668,0.06666666666666668,1.75,0.0,0.0,0.03333333333333334,0.15,0.0,0.74,0.009999999999999998,0.03333333333333335
0.14999999999999997,0.0,1.7,0.06666666666666668,0.13333333333333336,0.0,0.21666666666666665,0.00714285714285715,0.010000000000000009,0.05,0.03750000000000002
0.04999999999999999,0.39999999999999997,0.11666666666666667,0.0,0.04166666666666665,0.016666666666666663,1.2333333333333336,0.18333333333333335,0.0,0.0,0.0
0.2,0.02222222222222223,0.0,0.03333333333333334,0.3,0.04166666666666665,0.13333333333333336,0.13333333333333333,0.03333333333333333,0.009999999999999998,0.14
0.8499999999999999,0.10000000000000002,0.6,0.05000000000000001,0.0,0.0,0.08333333333333334,0.15,0.019999999999999997,0.15,0.0
0.016666666666666663,0.11666666666666665,0.016666666666666663,0.04166666666666667,0.016666666666666663,0.0,0.0,0.4833333333333334,0.04,0.2866666666666667,0.13333333333333333
0.016666666666666663,0.0,0.011111111111111108,0.06666666666666668,0.0,0.31666666666666676,0.05555555555555556,0.02777777777777778,0.06666666666666668,0.06666666666666667,0.08
0.016666666666666663,0.1,0.4999999999999999,0.024999999999999994,0.011111111111111108,0.04166666666666667,0.15,0.02222222222222223,0.08,0.25,0.20000000000000004
0.04999999999999999,0.0,0.0,0.04444444444444446,0.0,0.09166666666666662,0.38333333333333336,0.0,0.45999999999999996,0.32,0.025000000000000005
0.2166666666666667,0.0,0.9499999999999998,0.0,0.04999999999999999,0.0,0.1357142857142857,0.1285714285714286,0.08666666666666666,0.0,0.0
0.3,0.07777777777777778,0.6,0.0,0.0,0.016666666666666663,0.00555555555555556,0.37777777777777777,0.06000000000000001,0.030000000000000006,0.0
0.09999999999999999,0.1166666666666667,0.0,0.2166666666666667,0.008333333333333342,0.11666666666666663,0.0,0.05000000000000001,0.0,0.1,0.0
0.0,0.07777777777777779,0.0,0.15833333333333335,0.1,0.0,0.14444444444444443,0.02222222222222223,0.05,0.06,0.16
0.55,0.05555555555555556,0.11111111111111112,0.08888888888888889,0.05833333333333333,0.0,0.0611111111111111,0.11428571428571428,0.06999999999999999,0.0,0.06000000000000001
0.0,1.5,1.4499999999999997,0.049999999999999975,0.033333333333333326,0.0,0.0,0.15,0.01333333333333333,0.2,0.07999999999999999
0.0,0.0,0.3,0.06666666666666665,0.0,0.30000000000000004,0.23333333333333334,0.09285714285714283,0.0,0.0,0.024999999999999994
0.016666666666666663,0.24999999999999994,0.5999999999999999,0.033333333333333326,0.1,0.0,0.05,0.0,0.0,0.06000000000000001,0.06000000000000001
0.06666666666666668,0.6,0.02222222222222223,0.022222222222222216,0.05000000000000001,0.30000000000000004,0.05714285714285713,0.05714285714285715,0.030000000000000006,0.05333333333333332,0.13333333333333333
1.05,0.0,0.5999999999999999,0.04444444444444444,0.033333333333333326,0.04444444444444444,0.10555555555555556,0.09999999999999999,0.019999999999999997,0.0,0.0
0.7,0.0,0.08333333333333333,0.0,0.03333333333333335,0.016666666666666663,0.18333333333333332,0.1571428571428571,0.05,0.11333333333333333,0.039999999999999994
0.35000000000000003,0.05000000000000001,0.055555555555555566,0.024999999999999994,0.0,0.049999999999999975,0.14444444444444446,0.005555555555555548,0.06666666666666668,0.15,0.0
0.4,0.06666666666666668,0.0,0.0,0.016666666666666663,0.1,0.09444444444444444,0.0,0.22000000000000003,0.0,0.1
0.0,0.6,0.0,0.06666666666666668,0.11666666666666667,0.044444444444444446,0.13333333333333336,0.1,0.019999999999999997,0.3,0.225
0.06666666666666667,0.65,0.0,0.35000000000000003,0.08333333333333336,0.0,0.16666666666666669,0.1388888888888889,0.01333333333333333,0.06,0.20000000000000004
1.1,0.10000000000000002,0.5499999999999999,0.15000000000000005,0.011111111111111108,0.07777777777777777,0.0,0.85,0.0,0.32,0.0
0.35000000000000003,1.5,0.05,0.03333333333333334,0.0,0.16666666666666669,0.0,0.0,0.78,0.0,0.3666666666666667
0.14444444444444446,0.06666666666666667,0.14999999999999997,0.0,0.044444444444444446,0.15,0.06666666666666668,0.0,0.62,0.0,0.019999999999999997
0.0,0.75,0.55,0.0,0.03333333333333335,0.11666666666666667,0.2666666666666667,0.0714285714285714,0.4,0.13999999999999999,0.06666666666666668
0.033333333333333326,0.29999999999999993,0.41111111111111115,0.11666666666666667,0.04166666666666667,0.08333333333333336,0.01666666666666667,0.0,0.0,0.019999999999999997,0.0
0.35,0.0,1.1,0.04166666666666665,0.0,0.024999999999999994,0.0,0.15,0.15333333333333332,0.21000000000000002,0.0
0.0,1.5,0.06666666666666668,0.16666666666666669,0.0,0.03333333333333334,0.23333333333333334,0.11428571428571428,0.18,0.1,0.13333333333333333
0.0,1.1,0.0,0.3666666666666667,0.04166666666666667,0.05833333333333331,0.038888888888888896,0.0,0.34,0.0,0.019999999999999997
0.033333333333333326,0.0,0.05555555555555556,0.16666666666666663,0.08333333333333334,0.011111111111111108,0.016666666666666663,0.04285714285714286,0.01333333333333333,0.030000000000000006,0.04
0.5999999999999999,0.1,0.0,0.05555555555555554,0.09166666666666665,0.0,0.14444444444444446,0.11666666666666667,0.05,0.1,0.019999999999999997
0.12222222222222223,0.11111111111111112,0.02222222222222223,0.033333333333333326,0.0,0.0,0.0,0.02777777777777778,0.06000000000000001,0.07333333333333336,0.2
0.0,0.0,0.5499999999999999,0.0,0.016666666666666663,0.1,0.0857142857142857,0.16111111111111112,0.06,0.0,0.2666666666666667
0.11666666666666665,0.0,0.75,0.13333333333333336,0.03333333333333334,0.0,0.06666666666666668,0.14444444444444443,0.05,0.010000000000000009,0.05
0.30000000000000004,0.0,0.6000000000000001,0.06666666666666665,0.07777777777777777,0.0,0.13333333333333336,0.0,0.33999999999999997,0.0,0.19999999999999998
0.0,0.0,0.55,0.02222222222222223,0.0,0.05555555555555556,0.0,0.016666666666666663,0.3133333333333333,0.0,0.03333333333333335
0.09999999999999998,0.06666666666666667,0.0,0.18333333333333332,0.0,0.0,0.021428571428571432,0.23571428571428568,0.08666666666666666,0.0,0.0
0.0,0.0,0.4999999999999999,0.15833333333333333,0.07777777777777779,0.0,0.0,0.03333333333333335,0.15999999999999998,0.06,0.16
0.0,0.1,0.0,0.0,0.03333333333333335,0.15000000000000005,0.3,0.2428571428571428,0.0,0.22000000000000003,0.0
0.044444444444444446,0.24999999999999994,0.0,0.0,0.0,0.06666666666666668,0.06666666666666668,0.3055555555555556,0.019999999999999997,0.7,0.23333333333333334
0.0,0.0,0.4,0.0,0.011111111111111108,0.07777777777777777,0.27222222222222225,0.0,0.24000000000000005,0.11999999999999997,0.0
0.7,1.2,0.15555555555555556,0.016666666666666663,0.0,0.0,0.5666666666666667,0.044444444444444446,0.0,0.5199999999999999,0.06000000000000001
0.0,0.0,1.05,0.0,0.02222222222222223,0.0,0.9333333333333332,0.7166666666666668,0.06666666666666667,0.21999999999999997,0.0
0.4999999999999999,0.04999999999999999,0.7,0.06666666666666668,0.0,0.2555555555555556,0.0,0.016666666666666663,0.0,0.04666666666666666,0.0
0.4,0.07777777777777777,0.04999999999999999,0.016666666666666663,0.0,0.05555555555555556,0.0,0.05,0.9400000000000001,0.06000000000000001,0.012500000000000011
0.033333333333333326,0.05,0.0,0.022222222222222216,0.02222222222222223,0.011111111111111108,0.0,0.14444444444444446,0.0,1.0,0.15
0.0,0.1,0.4,0.03333333333333331,0.09999999999999998,0.011111111111111108,0.03571428571428573,0.5666666666666667,0.05,0.0,0.0
0.35,1.4499999999999997,0.0,0.11111111111111109,0.0,0.0,0.5333333333333334,0.02777777777777778,0.2,0.08666666666666666,0.13999999999999999
1.0,0.7,0.0,0.011111111111111108,0.016666666666666663,0.1166666666666667,0.1,0.25,0.21333333333333332,0.0,0.0
