BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
68,1,0.2,0.9,0.2,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,2,0.6,0.9,0.2,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,3,0.9,0.9,0.2,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,4,0.2,0.2,0.6,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,5,0.6,0.2,0.6,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,6,0.9,0.2,0.6,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,7,0.2,0.6,0.6,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,8,0.6,0.6,0.6,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,9,0.9,0.6,0.6,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,10,0.2,0.9,0.6,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,11,0.6,0.9,0.6,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,12,0.9,0.9,0.6,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,13,0.2,0.2,0.9,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,14,0.6,0.2,0.9,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,15,0.9,0.2,0.9,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,16,0.2,0.6,0.9,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,17,0.6,0.6,0.9,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,18,0.9,0.6,0.9,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,19,0.2,0.9,0.9,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,20,0.6,0.9,0.9,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,21,0.9,0.9,0.9,1.2,1.2,1.2,0.6,1.4,1.5,1.0,0.5
68,22,0.2,0.2,0.2,0.6,0.6,0.6,1.4,1.4,1.5,1.0,0.5
68,23,0.6,0.2,0.2,0.6,0.6,0.6,1.4,1.4,1.5,1.0,0.5
68,24,0.9,0.2,0.2,0.6,0.6,0.6,1.4,1.4,1.5,1.0,0.5
68,25,0.2,0.6,0.2,0.6,0.6,0.6,1.4,1.4,1.5,1.0,0.5
